BoroughName,1st_Dose_Uptake_%
Barking and Dagenham,64.73181818
Barnet,72.69756098
Bexley,80.70357143
Brent,64.02647059
Bromley,81.92564103
Camden,65.84642857
Croydon,70.10681818
Ealing,69.14358974
Enfield,68.80555556
Greenwich,72.13636364
Hackney and City of London,63.87142857
Hammersmith and Fulham,63.58
Haringey,65.60277778
Harrow,72.48666667
Havering,79.09333333
Hillingdon,75.15625
Hounslow,70.70357143
Islington,66.23043478
Kensington and Chelsea,63.61904762
Kingston upon Thames,77.62
Lambeth,66.48571429
Lewisham,68.57777778
Merton,71.772
Newham,61.52162162
Redbridge,71.45483871
Richmond upon Thames,78.93043478
Southwark,68.02727273
Sutton,80.975
Tower Hamlets,68.2125
Waltham Forest,66.95714286
Wandsworth,69.88378378
Westminster,62.5125
