Borough,Region,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop
City of London,Central,0.213694915,0.026169492,0.033627119,0.029288136
Barking and Dagenham,East,379.57022,126.7461152,50.95127656,60.99829596
Barnet,North,14.66165243,3.14322004,0.869021307,3.153673366
Bexley,East,351.3758431,117.2414405,48.08227482,56.40428787
Brent,West,21.73666446,6.29100771,1.78612226,6.457155125
Bromley,South,325.9082538,109.2932834,46.15446302,49.21613809
Camden,Central,9.45349911,2.263139444,1.777262742,0.792671398
Croydon,South,310.8538652,104.9106537,44.10327837,47.70231246
Ealing,West,292.320723,96.6551114,42.55368542,44.82474704
Enfield,North,274.2028105,92.99551464,40.82833519,39.68270227
Greenwich,East,271.391528,90.36032544,41.4892999,40.52757958
Hackney,East,258.7008042,84.64370825,40.47714725,39.10126328
Hammersmith and Fulham,West,7.906173245,2.933185407,0.364992959,0.466128573
Haringey,North,232.5244707,73.91809942,38.31246433,36.34613404
Harrow,West,224.6020878,68.91766716,38.32156268,36.94507291
Havering,East,3.692881509,1.439916952,0.309785011,0.653886826
Hillingdon,West,200.7396204,64.01500041,36.12927002,28.3364523
Hounslow,West,186.6201049,61.00280952,34.71334058,23.81891295
Islington,Central,7.297529243,2.928753372,0.622945161,0.387611335
Kensington and Chelsea,Central,6.214758651,1.393292658,0.236613022,0.340437895
Kingston upon Thames,South,5.068156556,0.497320818,0.492521097,0.788941579
Lambeth,Central,159.0158008,55.94045812,32.11011602,17.79841217
Lewisham,East,142.8352361,46.58754708,31.16439181,16.91273299
Merton,South,8.673964687,2.572719629,1.175084487,1.005373555
Newham,East,26.20353925,7.330924767,8.127298148,4.943395326
Redbridge,East,99.28708659,29.30591236,22.90100416,12.03045154
Richmond upon Thames,South,3.141381042,0.331047015,0.232030061,0.616481628
Southwark,Central,76.40801578,25.5438295,17.45301812,5.967268897
Sutton,South,62.001527,16.94821012,16.87373439,5.405428848
Tower Hamlets,East,58.13793168,15.95591788,16.75675426,4.797964465
Waltham Forest,East,13.13448749,4.775477432,3.261416677,0.975639771
Wandsworth,South,10.77279404,4.034688267,1.405927124,1.070854267
Westminster,Central,8.966890841,1.681687098,0.875339851,0.829560722
