BoroughName,2nd_Dose_Updake_%,1st_Dose_Uptake_%,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,covid_19_deaths_per_thousand
Barking and Dagenham,59.82727272727273,64.73181818181818,0.41578734527272726,0.2023284760909091,0.08203502222727273,0.03918908554545455,0.5015320977727273
Barnet,69.17317073170732,72.69756097560975,0.3576012787804878,0.07666390341463415,0.02119564163414634,0.07691886258536586,0.735583707292683
Bexley,77.30357142857143,80.70357142857142,0.179297901,0.08287297228571429,0.006481187285714286,0.03065788839285714,0.5232648017142857
Brent,59.67058823529412,64.0264705882353,0.6393136607058824,0.18502963852941176,0.05253300764705882,0.18991632720588236,0.914662143382353
Bromley,79.14102564102564,81.92564102564103,0.1535343132051282,0.058465352,0.007413546717948718,0.019729150974358973,0.4577594440769231
Camden,60.44285714285714,65.84642857142858,0.33762496821428567,0.08082640871428572,0.06347366935714285,0.028309692785714286,0.33641521225
Croydon,66.25454545454545,70.10681818181818,0.4389818175454545,0.19653125097727273,0.03590626556818182,0.06683709984090909,0.6554950600227273
Ealing,65.14358974358974,69.14358974358974,0.49213900792307697,0.10490877533333333,0.04579241010256411,0.13436727982051283,0.7074470431538462
Enfield,65.08333333333333,68.80555555555556,0.38032023769444445,0.1652125371111111,0.02562239783333333,0.03741553630555555,0.6624118575
Greenwich,67.82727272727273,72.13636363636364,0.35283925154545454,0.1765264116060606,0.015550193636363637,0.029487779333333332,0.5031356053939394
Hackney and City of London,59.767857142857146,63.871428571428574,,,,,
Hammersmith and Fulham,59.74,63.58,0.31624692979999997,0.11732741628,0.01459971836,0.01864514292,0.5190663364
Haringey,61.90277777777778,65.60277777777777,0.3908593607222222,0.18545363183333333,0.024574076,0.02314652952777778,0.6151234333611111
Harrow,68.78999999999999,72.48666666666666,0.5673115093,0.0806868617,0.038258727799999996,0.2554268794333333,0.9616201621666666
Havering,75.94666666666667,79.09333333333333,0.1230960503,0.04799723173333333,0.010326167033333333,0.021796227533333334,0.6522836086
Hillingdon,71.0875,75.15625,0.3823308891875,0.07013564728125,0.0412231154375,0.13118420509375,0.55393728540625
Hounslow,66.25357142857142,70.70357142857144,0.4853074174285714,0.0663419175,0.06253885746428571,0.18882161610714285,0.4396755290357143
Islington,61.56521739130435,66.2304347826087,0.3172838801304348,0.12733710313043478,0.027084572217391304,0.016852666739130436,0.3724023363478261
Kensington and Chelsea,58.647619047619045,63.61904761904762,0.2959408881428572,0.06634726942857143,0.011267286761904763,0.016211328333333334,0.5486950521904762
Kingston upon Thames,74.12,77.61999999999999,0.2534078278,0.0248660409,0.024626054850000002,0.039447078950000006,0.336876298
Lambeth,62.745714285714286,66.48571428571428,0.4299801076,0.259860678,0.017536165142857146,0.016652516257142858,0.5169148720571428
Lewisham,64.60555555555555,68.57777777777778,0.4624208891666666,0.27057993402777775,0.010788780416666666,0.016535374555555555,0.5662918719444444
Merton,68.188,71.77199999999999,0.34695858747999997,0.10290878515999999,0.047003379479999996,0.0402149422,0.57130935524
Newham,56.58108108108108,61.52162162162163,0.7082037635675675,0.1981331018108108,0.21965670670270268,0.13360527908108108,0.6249323496216217
Redbridge,67.30322580645162,71.45483870967742,0.5612535270645161,0.08812975606451613,0.16071340648387097,0.15838561345161292,0.541770536483871
Richmond upon Thames,75.92608695652174,78.9304347826087,0.1365817844347826,0.01439334847826087,0.010088263521739131,0.02680354904347826,0.4121594616956522
Southwark,63.515151515151516,68.02727272727273,0.4566377223030303,0.26698034066666665,0.01974592818181818,0.020192707363636365,0.5027047293939394
Sutton,77.5125,80.97500000000001,0.21334435395833332,0.04768870216666667,0.019875516583333332,0.03414465966666667,0.46840838175
Tower Hamlets,62.6125,68.2125,0.54497377496875,0.0721109215625,0.32996792025,0.02579439109375,0.4233600785
Waltham Forest,63.278571428571425,66.95714285714286,0.4690888390357143,0.17055276542857142,0.11647916703571429,0.034844277535714285,0.5571901839642857
Wandsworth,66.66486486486487,69.88378378378378,0.2911565957027027,0.10904562883783783,0.03799803037837838,0.028942007216216217,0.4102906527837838
Westminster,57.17916666666667,62.512499999999996,0.3736204517083333,0.07007029575,0.036472493791666664,0.03456503008333333,0.4569815876666667
